"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"번째","9","","","",""
"책도","9","","","",""
"쉬운","9","","","",""
"이라는","9","","","",""
"부모가","9","","","",""
"있던","9","","","",""
"얻는","9","","","",""
"의미를","9","","","",""
"방법","9","","","",""
"오래","9","","","",""
"거죠","9","","","",""
"하죠","9","","","",""
"지금","9","","","",""
"고전","9","","","",""
"흔히","9","","","",""
"이유로","9","","","",""
"대신","9","","","",""
"중요합니다","9","","","",""
"깊이","9","","","",""
"모르는","9","","","",""
"사람들의","9","","","",""
"글자","9","","","",""
"종이책의","9","","","",""
"좋다","9","","","",""
"권의","9","","","",""
"독서하는","9","","","",""
"스마트폰","9","","","",""
"2017년","9","","","",""
"보기","9","","","",""
"않아도","9","","","",""
"뇌를","9","","","",""
"‘2021","9","","","",""
"도","9","","","",""
"경우도","9","","","",""
"본문","9","","","",""
"형태로","9","","","",""
"습관","9","","","",""
"이홍","9","","","",""
"많지","9","","","",""
"21","8","","","",""
"첫","8","","","",""
"조사됐다","8","","","",""
"초등학교","8","","","",""
"였다","8","","","",""
"감소했다","8","","","",""
"단","8","","","",""
"듣는","8","","","",""
"1년","8","","","",""
"수는","8","","","",""
"빠른","8","","","",""
"아니라","8","","","",""
"자료를","8","","","",""
"보인다","8","","","",""
"있는데","8","","","",""
"장르소설","8","","","",""
"결과가","8","","","",""
"아직","8","","","",""
"부분이","8","","","",""
"물론","8","","","",""
"문제를","8","","","",""
"있어서","8","","","",""
"식으로","8","","","",""
"조사에","8","","","",""
"높은","8","","","",""
"co","8","","","",""
"과정에서","8","","","",""
"2020년","8","","","",""
"생활","8","","","",""
"응답이","8","","","",""
"작은","8","","","",""
"사람들에게","8","","","",""
"모습을","8","","","",""
"제대로","8","","","",""
"강조하는","8","","","",""
"하는가","8","","","",""
"이해할","8","","","",""
"아닙니다","8","","","",""
"할까","8","","","",""
"읽으라고","8","","","",""
"않다","8","","","",""
"나를","8","","","",""
"만들","8","","","",""
"방법을","8","","","",""
"주는","8","","","",""
"새롭게","8","","","",""
"2021년","8","","","",""
"것이죠","8","","","",""
"김","8","","","",""
"기사","8","","","",""
"않을까","8","","","",""
"삶을","8","","","",""
"특정","8","","","",""
"들을","8","","","",""
"때마다","8","","","",""
"있는지","8","","","",""
"소설을","8","","","",""
"종이책은","8","","","",""
"가능하다","8","","","",""
"말을","8","","","",""
"전자책이","8","","","",""
"하는지","8","","","",""
"매일","8","","","",""
