"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"등록번호","20","","","",""
"발행인","20","","","",""
"서울특별시","20","","","",""
"rights","20","","","",""
"경우가","20","","","",""
"그의","20","","","",""
"어릴","20","","","",""
"많다","20","","","",""
"층","20","","","",""
"속","20","","","",""
"리터러시가","20","","","",""
"그는","20","","","",""
"아이가","20","","","",""
"읽기가","20","","","",""
"동영상","20","","","",""
"종이책이","20","","","",""
"느낄","20","","","",""
"학생들의","20","","","",""
"종합","20","","","",""
"학교도서관","20","","","",""
"이승하","20","","","",""
"때는","19","","","",""
"억","19","","","",""
"만화","19","","","",""
"초등학교","19","","","",""
"이어","19","","","",""
"만들어","19","","","",""
"별로","19","","","",""
"아직","19","","","",""
"이상의","19","","","",""
"최대","19","","","",""
"위해서는","19","","","",""
"in","19","","","",""
"제주","19","","","",""
"골프","19","","","",""
"운영","19","","","",""
"번째","19","","","",""
"완전히","19","","","",""
"인간","19","","","",""
"전체메뉴","19","","","",""
"이메일","19","","","",""
"URL복사","19","","","",""
"삶의","19","","","",""
"우리의","19","","","",""
"스마트폰","19","","","",""
"단독","19","","","",""
"종이책으로","19","","","",""
"×","19","","","",""
"비밀번호","19","","","",""
"채널예스","19","","","",""
"new","18","","","",""
"윤석열","18","","","",""
"학교에서","18","","","",""
"단","18","","","",""
"같다","18","","","",""
"세상","18","","","",""
"있는데","18","","","",""
"갈수록","18","","","",""
"때","18","","","",""
"사회적","18","","","",""
"눈에","18","","","",""
"인간이","18","","","",""
"싶다","18","","","",""
"링크","18","","","",""
"일본","18","","","",""
"문화일반","18","","","",""
"기술","18","","","",""
"개월","18","","","",""
"hni","18","","","",""
"생활","18","","","",""
"주소","18","","","",""
"건강","18","","","",""
"시","18","","","",""
"책들을","18","","","",""
"글쓰기","18","","","",""
"으로","18","","","",""
"복사","18","","","",""
"뇌는","18","","","",""
"음식물","18","","","",""
"쓰레기","18","","","",""
"생각합니다","18","","","",""
"것이죠","18","","","",""
"가운데","18","","","",""
"추천","18","","","",""
"전자책으로","18","","","",""
"명사에게","18","","","",""
"독서신문","18","","","",""
"·","18","","","",""
"때문입니다","18","","","",""
"뇌","18","","","",""
"‘내가","18","","","",""
"있어야","17","","","",""
"교보문고","17","","","",""
"성인은","17","","","",""
"따른","17","","","",""
"전에","17","","","",""
"출간","17","","","",""
"등이","17","","","",""
"분야","17","","","",""
"아니라","17","","","",""
"이용","17","","","",""
"국내","17","","","",""
"문제를","17","","","",""
"―","17","","","",""
"ge","17","","","",""
"개인정보처리방침","17","","","",""
"lternte","17","","","",""
"프로그램","17","","","",""
"완화","17","","","",""
"수정","17","","","",""
"코너","17","","","",""
"청소년보호책임자","17","","","",""
"제대로","17","","","",""
"그것은","17","","","",""
"습관을","17","","","",""
"자기가","17","","","",""
"이유를","17","","","",""
"찾아","17","","","",""
"것에","17","","","",""
"안내","17","","","",""
"되었다","17","","","",""
"있죠","17","","","",""
"유튜브","17","","","",""
"같아요","17","","","",""
"갖고","17","","","",""
"삶을","17","","","",""
"새해","17","","","",""
"확대","17","","","",""
"기업","17","","","",""
"원하는","17","","","",""
"TV","16","","","",""
"일은","16","","","",""
"습관이","16","","","",""
"입력","16","","","",""
"꾸준히","16","","","",""
"종","16","","","",""
"하는데","16","","","",""
"속에서","16","","","",""
