"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"titre","9","","","",""
"nécessaire","9","","","",""
"trouve","9","","","",""
"facebook","9","","","",""
"préfère","9","","","",""
"liste","9","","","",""
"heures","9","","","",""
"grâce","9","","","",""
"lieux","9","","","",""
"loisir","9","","","",""
"exclusivement","9","","","",""
"domicile","9","","","",""
"covid","9","","","",""
"montrent","9","","","",""
"âgés","9","","","",""
"écrits","9","","","",""
"revanche","9","","","",""
"interrogés","9","","","",""
"libre","9","","","",""
"foyers","9","","","",""
"classement","9","","","",""
"football","9","","","",""
"choisi","9","","","",""
"accéder","9","","","",""
"abonner","9","","","",""
"prennent","9","","","",""
"smartphones","9","","","",""
"secondaire","9","","","",""
"constate","9","","","",""
"social","9","","","",""
"amazon","9","","","",""
"succès","9","","","",""
"—","9","","","",""
"apple","9","","","",""
"classes","9","","","",""
"outil","9","","","",""
"projet","9","","","",""
"version","9","","","",""
"moyens","9","","","",""
"marie","9","","","",""
"manque","9","","","",""
"consulter","9","","","",""
"apprentissage","9","","","",""
"36","8","","","",""
"45","8","","","",""
"47","8","","","",""
"52","8","","","",""
"60","8","","","",""
"80","8","","","",""
"2011","8","","","",""
"tranche","8","","","",""
"âgées","8","","","",""
"long","8","","","",""
"journalistes","8","","","",""
"proposer","8","","","",""
"créer","8","","","",""
"évidemment","8","","","",""
"aider","8","","","",""
"xvi","8","","","",""
"compréhension","8","","","",""
"vrai","8","","","",""
"de","8","","","",""
"faute","8","","","",""
"permanence","8","","","",""
"intéressant","8","","","",""
"dommage","8","","","",""
"écoute","8","","","",""
"évader","8","","","",""
"petite","8","","","",""
"vacances","8","","","",""
"répondants","8","","","",""
"spécialisées","8","","","",""
"…","8","","","",""
"vivre","8","","","",""
"amis","8","","","",""
"au","8","","","",""
"deloitte","8","","","",""
"éducation","8","","","",""
"travers","8","","","",""
"coucher","8","","","",""
"qualité","8","","","",""
"www","8","","","",""
"technique","8","","","",""
"objet","8","","","",""
"propos","8","","","",""
"évolution","8","","","",""
"terrain","8","","","",""
"actualitté","8","","","",""
"abonnement","8","","","",""
